process_id,task_count,process_name,start_time,end_time,workflow_size
290569,1,商版B集群活跃master、worker数统计-2-20250924025001232,2025-09-24 02:50:01,2025-09-24 02:50:04,small
293907,65,circ_ods_circgf_claim_610000_陕西_并行-1-20250925053326792,2025-09-25 05:33:27,2025-09-25 06:16:03,large
291547,2,【惠民保调度】(总调度)_省份二部-1-20250924100000277,2025-09-24 10:00:00,2025-09-24 10:21:33,small
294434,3,大病四级月报总调度_360000_江西-1-20250925140001209,2025-09-25 14:00:02,2025-09-25 14:02:55,small
292083,15,east_eastjt_eastjt_end_36_350200_厦门-1-20250924130951343,2025-09-24 13:09:52,2025-09-24 13:10:39,medium
291219,1,检测下线违规定时任务-2-20250924054000651,2025-09-24 05:40:01,2025-09-24 05:40:01,small
291755,15,east_ods_eastjt_incr_cmds_120000_天津-1-20250924111617831,2025-09-24 11:16:19,2025-09-24 11:21:07,medium
290919,1,east_ods_eastjt_reinsure_210000_辽宁-1-20250924040811427,2025-09-24 04:08:12,2025-09-24 04:08:13,small
293478,45,east_ods_eastjt_claim_640000_宁夏-1-20250925033317357,2025-09-25 03:33:18,2025-09-25 03:44:37,large
290696,38,east_ods_eastjt_agent_630000_青海-1-20250924030916105,2025-09-24 03:09:17,2025-09-24 03:17:23,large
291948,38,east_ods_eastjt_acc_650000_新疆-2-20250924112815890,2025-09-24 11:28:17,2025-09-24 11:38:28,large
290742,34,east_ods_eastjt_cont_jt_640000_宁夏-1-20250924031737619,2025-09-24 03:17:38,2025-09-24 03:33:35,large
293923,65,circ_ods_circgf_claim_430000_湖南_并行-1-20250925053406978,2025-09-25 05:34:08,2025-09-25 06:18:16,large
294284,3,CIRC_PI【交易表_数据加工_stage1】(460000_海南)-1-20250925100140168,2025-09-25 10:01:41,2025-09-25 10:04:15,small
291270,1,商版B集群活跃master、worker数统计-2-20250924062000322,2025-09-24 06:20:00,2025-09-24 06:20:04,small
291918,23,east_ods_eastjt_cs_150000_内蒙-1-20250924112413519,2025-09-24 11:24:14,2025-09-24 11:28:39,medium
291558,3,CIRC_PI【交易表_数据加工_stage1】(430000_湖南)-1-20250924100140899,2025-09-24 10:01:42,2025-09-24 10:05:11,small
291748,15,east_ods_eastjt_incr_cmds_330200_宁波-1-20250924111616825,2025-09-24 11:16:18,2025-09-24 11:20:48,medium
293233,15,CIRCCISGF_Job_【数据校验】(510000_四川)-1-20250925022035794,2025-09-25 02:20:36,2025-09-25 02:26:18,medium
290961,15,east_eastjt_eastjt_end_36_460000_海南-1-20250924042724929,2025-09-24 04:27:25,2025-09-24 04:27:51,medium
292078,15,east_eastjt_eastjt_end_36_330000_浙江-1-20250924130951337,2025-09-24 13:09:52,2025-09-24 13:10:40,medium
294402,3,大病四级月报总调度_320000_江苏-1-20250925140000957,2025-09-25 14:00:02,2025-09-25 14:02:44,small
294176,1,circ_ods_circgf_reinsure_360000_江西-1-20250925080643672,2025-09-25 08:06:44,2025-09-25 08:06:45,small
291612,28,CIRC_PI【所有模块(36)_数据加工】(430000_湖南)-1-20250924100722369,2025-09-24 10:07:23,2025-09-24 10:19:46,medium
290754,34,east_ods_eastjt_cont_jt_520000_贵州-1-20250924031747174,2025-09-24 03:17:47,2025-09-24 03:34:54,large
294493,4,cis_mrep_fact_cur_data_load_x_140000_山西-1-20250925140102208,2025-09-25 14:01:02,2025-09-25 14:01:06,small
290987,49,保单登记股份增量正式报送调度_520000_贵州-6-20250924043500034,2025-09-24 04:35:00,2025-09-24 08:25:39,large
294008,61,circ_ods_circgf_acc_230000_黑龙江_并行-3-20250925064739153,2025-09-25 06:47:40,2025-09-25 07:20:22,large
291637,1,TEST-53-20250924102903457,2025-09-24 10:29:03,2025-09-24 10:29:06,small
294282,3,CIRC_PI【交易表_数据加工_stage1】(120000_天津)-1-20250925100140142,2025-09-25 10:01:41,2025-09-25 10:04:29,small
293077,1,检测下线违规定时任务-2-20250924174000102,2025-09-24 17:40:00,2025-09-24 17:40:01,small
290869,51,east_ods_eastjt_acc_330000_浙江-2-20250924035439380,2025-09-24 03:54:40,2025-09-24 04:22:40,large
290895,1,east_ods_eastjt_reinsure_410000_河南-1-20250924040550846,2025-09-24 04:05:51,2025-09-24 04:05:53,small
291498,15,circ_circgf_circgf_end_36_310000_上海-1-20250924082338678,2025-09-24 08:23:39,2025-09-24 08:25:26,medium
291310,61,circ_ods_circgf_acc_110000_北京_并行-3-20250924065129178,2025-09-24 06:51:29,2025-09-24 07:15:29,large
293097,1,商版B集群活跃master、worker数统计-2-20250924193000336,2025-09-24 19:30:00,2025-09-24 19:30:04,small
292899,26,circ_ods_circgf_agent_450000_广西_多批次_并行-4-20250924163828034,2025-09-24 16:38:29,2025-09-24 16:38:36,medium
